rowname	TASseq	SmartSeq2	TenXv2	TenXv3
121	NOTCH	NOTCH	NOTCH	NOTCH	NOTCH
122	NRXN	NRXN	0	0	0
123	OCLN	OCLN	OCLN	OCLN	OCLN
124	PD-L1	PD-L1	0	0	0
125	PECAM1	PECAM1	PECAM1	PECAM1	PECAM1
126	PTPRM	PTPRM	PTPRM	PTPRM	PTPRM
127	PVR	PVR	PVR	0	0
128	SELL	SELL	SELL	SELL	SELL
129	SELPLG	SELPLG	SELPLG	SELPLG	SELPLG
130	SEMA4	SEMA4	SEMA4	SEMA4	SEMA4
131	SEMA5	SEMA5	SEMA5	0	SEMA5
132	SEMA6	SEMA6	SEMA6	SEMA6	SEMA6
133	SEMA7	SEMA7	SEMA7	SEMA7	SEMA7
134	SN	SN	0	0	0
135	THY1	THY1	THY1	THY1	THY1
136	VCAM	VCAM	VCAM	VCAM	VCAM
137	VISTA	VISTA	0	0	0
138	INSULIN	0	INSULIN	0	0
139	IFN-II	0	IFN-II	0	IFN-II
140	TRAIL	0	TRAIL	0	TRAIL
141	AGT	0	AGT	0	0
142	PTH	0	PTH	0	0
143	CLDN	0	CLDN	0	0
144	NCAM	0	NCAM	NCAM	0
145	TIGIT	0	TIGIT	0	0
146	BMP10	0	0	BMP10	0
147	UGRP1	0	0	UGRP1	UGRP1
