rowname	TASseq	SmartSeq2	TenXv2	TenXv3
121	CDH1	CDH1	CDH1	CDH1	CDH1
122	CDH5	CDH5	CDH5	CDH5	CDH5
123	CEACAM	CEACAM	CEACAM	CEACAM	CEACAM
124	CLEC	CLEC	CLEC	CLEC	CLEC
125	CNTN	CNTN	CNTN	CNTN	CNTN
126	CSPG4	CSPG4	CSPG4	CSPG4	CSPG4
127	EPHA	EPHA	EPHA	EPHA	EPHA
128	EPHB	EPHB	EPHB	EPHB	EPHB
129	ESAM	ESAM	ESAM	ESAM	ESAM
130	GP1BA	GP1BA	0	0	0
131	ICAM	ICAM	ICAM	ICAM	ICAM
132	ICOS	ICOS	ICOS	ICOS	ICOS
133	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2
134	JAM	JAM	JAM	JAM	JAM
135	L1CAM	L1CAM	L1CAM	L1CAM	L1CAM
136	LAIR1	LAIR1	LAIR1	0	LAIR1
137	LCK	LCK	LCK	LCK	LCK
138	MAG	MAG	MAG	MAG	MAG
139	MHC-I	MHC-I	MHC-I	MHC-I	MHC-I
140	MHC-II	MHC-II	MHC-II	MHC-II	MHC-II
141	MPZ	MPZ	MPZ	MPZ	MPZ
142	NCAM	NCAM	NCAM	NCAM	NCAM
143	NECTIN	NECTIN	0	0	NECTIN
144	NEGR	NEGR	NEGR	NEGR	NEGR
145	NGL	NGL	0	0	NGL
146	NKG2D	NKG2D	NKG2D	0	NKG2D
147	NOTCH	NOTCH	NOTCH	NOTCH	NOTCH
148	NRXN	NRXN	NRXN	NRXN	NRXN
149	OCLN	OCLN	OCLN	OCLN	OCLN
150	PD-L1	PD-L1	PD-L1	PD-L1	PD-L1
151	PDL2	PDL2	PDL2	PDL2	PDL2
152	PECAM1	PECAM1	PECAM1	PECAM1	PECAM1
153	PTPRM	PTPRM	PTPRM	PTPRM	PTPRM
154	PVR	PVR	PVR	PVR	PVR
155	SELE	SELE	SELE	0	SELE
156	SELL	SELL	SELL	SELL	SELL
157	SELPLG	SELPLG	SELPLG	SELPLG	SELPLG
158	SEMA4	SEMA4	SEMA4	SEMA4	SEMA4
159	SEMA5	SEMA5	SEMA5	SEMA5	SEMA5
160	SEMA6	SEMA6	SEMA6	SEMA6	SEMA6
161	SEMA7	SEMA7	SEMA7	SEMA7	SEMA7
162	SN	SN	SN	SN	0
163	THY1	THY1	THY1	THY1	THY1
164	TIGIT	TIGIT	TIGIT	TIGIT	TIGIT
165	VCAM	VCAM	VCAM	VCAM	VCAM
166	VISTA	VISTA	0	0	0
167	INSULIN	0	INSULIN	0	0
168	IFN-I	0	IFN-I	0	IFN-I
169	TRAIL	0	TRAIL	TRAIL	TRAIL
170	NGF	0	NGF	NGF	0
171	BRADYKININ	0	BRADYKININ	0	0
172	NPY	0	NPY	NPY	0
173	NTS	0	NTS	0	0
174	SEMATOSTATIN	0	SEMATOSTATIN	0	0
175	GUCA	0	GUCA	0	0
176	CLDN	0	CLDN	0	CLDN
177	BMP10	0	0	BMP10	BMP10
178	UGRP1	0	0	UGRP1	UGRP1
179	DESMOSOME	0	0	DESMOSOME	0
180	CD70	0	0	0	CD70
181	CD30	0	0	0	CD30
182	OX40	0	0	0	OX40
183	GPR	0	0	0	GPR
184	QRFP	0	0	0	QRFP
