rowname	TASseq	SmartSeq2	TenXv2	TenXv3
118	MHC-I	MHC-I	MHC-I	MHC-I	MHC-I
119	MHC-II	MHC-II	MHC-II	MHC-II	MHC-II
120	MPZ	MPZ	MPZ	MPZ	0
121	NCAM	NCAM	NCAM	NCAM	NCAM
122	NECTIN	NECTIN	0	0	NECTIN
123	NEGR	NEGR	0	0	NEGR
124	NGL	NGL	0	0	0
125	NKG2D	NKG2D	NKG2D	0	NKG2D
126	NOTCH	NOTCH	NOTCH	NOTCH	NOTCH
127	NRXN	NRXN	NRXN	0	NRXN
128	OCLN	OCLN	OCLN	OCLN	OCLN
129	PD-L1	PD-L1	0	0	0
130	PECAM1	PECAM1	PECAM1	PECAM1	PECAM1
131	PTPRM	PTPRM	PTPRM	PTPRM	PTPRM
132	PVR	PVR	PVR	PVR	PVR
133	SELL	SELL	SELL	SELL	SELL
134	SELPLG	SELPLG	SELPLG	SELPLG	SELPLG
135	SEMA4	SEMA4	SEMA4	SEMA4	SEMA4
136	SEMA5	SEMA5	SEMA5	SEMA5	SEMA5
137	SEMA6	SEMA6	SEMA6	SEMA6	SEMA6
138	SEMA7	SEMA7	SEMA7	SEMA7	SEMA7
139	SN	SN	0	0	0
140	THY1	THY1	THY1	THY1	THY1
141	TIGIT	TIGIT	TIGIT	TIGIT	TIGIT
142	VCAM	VCAM	VCAM	VCAM	VCAM
143	VISTA	VISTA	0	0	0
144	GDNF	0	GDNF	0	0
145	INSULIN	0	INSULIN	0	0
146	TRAIL	0	TRAIL	TRAIL	TRAIL
147	AGT	0	AGT	AGT	0
148	SEMATOSTATIN	0	SEMATOSTATIN	0	0
149	PTH	0	PTH	0	0
150	CLDN	0	CLDN	0	0
151	BMP10	0	0	BMP10	0
152	RESISTIN	0	0	RESISTIN	0
153	ENHO	0	0	ENHO	0
154	UGRP1	0	0	UGRP1	UGRP1
155	CD46	0	0	0	CD46
