orig.ident	nReads	nGene	celltype
TASSeq.deep-1_5231	TASSeq.deep-1	331443	7804	doublet
TASSeq.deep-1_5305	TASSeq.deep-1	108298	4401	Bcell
TASSeq.deep-1_5491	TASSeq.deep-1	27512	2181	Endo_capillary
TASSeq.deep-1_5527	TASSeq.deep-1	81505	3286	Pericyte
TASSeq.deep-1_5547	TASSeq.deep-1	33942	1750	Bcell
TASSeq.deep-1_5557	TASSeq.deep-1	144324	5027	Bcell
TASSeq.deep-1_5736	TASSeq.deep-1	211717	5866	FB_peribronchiolar
TASSeq.deep-1_5986	TASSeq.deep-1	138738	4901	Endo_capillary
TASSeq.deep-1_6193	TASSeq.deep-1	165413	5619	doublet
TASSeq.deep-1_6305	TASSeq.deep-1	114141	4262	Bcell
TASSeq.deep-1_6482	TASSeq.deep-1	157769	4517	Endo_capillary
TASSeq.deep-1_6608	TASSeq.deep-1	174515	5031	Endo_aerocyte
TASSeq.deep-1_6807	TASSeq.deep-1	69427	3241	Bcell
TASSeq.deep-1_6878	TASSeq.deep-1	62167	2505	Pericyte
TASSeq.deep-1_7176	TASSeq.deep-1	125639	4821	Tcell_CD8T
TASSeq.deep-1_7604	TASSeq.deep-1	90973	3638	Endo_venous
TASSeq.deep-1_7686	TASSeq.deep-1	93430	3485	Endo_capillary
TASSeq.deep-1_7697	TASSeq.deep-1	521854	7451	Epi_AT2
TASSeq.deep-1_7845	TASSeq.deep-1	210897	5034	Epi_AT2
TASSeq.deep-1_7903	TASSeq.deep-1	126780	4106	Endo_capillary
TASSeq.deep-1_8089	TASSeq.deep-1	594971	8975	Mac_AM
TASSeq.deep-1_8203	TASSeq.deep-1	55126	2901	Pericyte
TASSeq.deep-1_8508	TASSeq.deep-1	168624	4607	FB_alveolar
TASSeq.deep-1_8773	TASSeq.deep-1	218327	6382	doublet
TASSeq.deep-1_8913	TASSeq.deep-1	95932	3887	Bcell
TASSeq.deep-1_8999	TASSeq.deep-1	234425	5807	FB_alveolar
TASSeq.deep-1_9085	TASSeq.deep-1	169162	5581	Bcell
TASSeq.deep-1_9137	TASSeq.deep-1	128700	4790	Tcell_CD8T
TASSeq.deep-1_9373	TASSeq.deep-1	237832	7985	doublet
TASSeq.deep-1_10213	TASSeq.deep-1	199222	5029	FB_alveolar
TASSeq.deep-1_10233	TASSeq.deep-1	198975	5388	Epi_AT2
TASSeq.deep-1_10261	TASSeq.deep-1	324599	6860	Mo_Ly6Chi
TASSeq.deep-1_10305	TASSeq.deep-1	308639	6621	Endo_aerocyte
TASSeq.deep-1_10606	TASSeq.deep-1	155389	5841	Bcell
TASSeq.deep-1_10611	TASSeq.deep-1	148273	5370	Endo_capillary
TASSeq.deep-1_10716	TASSeq.deep-1	445040	7674	Epi_AT2
TASSeq.deep-1_10888	TASSeq.deep-1	91602	3982	Pericyte
TASSeq.deep-1_11043	TASSeq.deep-1	198247	5607	Neutrophil
TASSeq.deep-1_11395	TASSeq.deep-1	221678	5437	FB_alveolar
TASSeq.deep-1_11444	TASSeq.deep-1	77695	3061	Endo_capillary
TASSeq.deep-1_11648	TASSeq.deep-1	94764	4308	FB_alveolar
TASSeq.deep-1_11672	TASSeq.deep-1	205925	5029	FB_alveolar
TASSeq.deep-1_11675	TASSeq.deep-1	191288	5673	DC_cDC2
TASSeq.deep-1_11945	TASSeq.deep-1	96080	3610	Endo_capillary
TASSeq.deep-1_11953	TASSeq.deep-1	257149	6428	Mo_Ly6Chi
TASSeq.deep-1_12394	TASSeq.deep-1	95753	3985	Endo_capillary
TASSeq.deep-1_12614	TASSeq.deep-1	150715	5659	NK
TASSeq.deep-1_13221	TASSeq.deep-1	595006	9886	Mac_AM
TASSeq.deep-1_13350	TASSeq.deep-1	80554	3670	Endo_aerocyte
TASSeq.deep-1_13588	TASSeq.deep-1	65812	3678	Endo_capillary
TASSeq.deep-1_14032	TASSeq.deep-1	75637	2881	Endo_capillary
TASSeq.deep-1_14517	TASSeq.deep-1	251949	5805	Mac_IM
TASSeq.deep-1_14587	TASSeq.deep-1	94175	3747	Bcell
TASSeq.deep-1_14714	TASSeq.deep-1	143017	5015	Bcell
TASSeq.deep-1_14851	TASSeq.deep-1	221053	5935	Tcell_CD8T
TASSeq.deep-1_15251	TASSeq.deep-1	462907	7578	Epi_AT2
TASSeq.deep-1_15324	TASSeq.deep-1	423706	8264	doublet
TASSeq.deep-1_15520	TASSeq.deep-1	58390	2794	Pericyte
TASSeq.deep-1_15647	TASSeq.deep-1	158836	5102	DC_pDC
TASSeq.deep-1_15790	TASSeq.deep-1	69588	3174	Bcell
TASSeq.deep-1_15934	TASSeq.deep-1	138964	4343	ILC2
TASSeq.deep-1_15948	TASSeq.deep-1	113377	4794	NK
TASSeq.deep-1_16103	TASSeq.deep-1	132008	3803	FB_alveolar
TASSeq.deep-1_16149	TASSeq.deep-1	27210	2516	misc
TASSeq.deep-1_16197	TASSeq.deep-1	98972	3823	Tcell_CD4T
TASSeq.deep-1_16263	TASSeq.deep-1	501083	8082	Mac_AM
TASSeq.deep-1_16284	TASSeq.deep-1	98314	3927	FB_alveolar
TASSeq.deep-1_16309	TASSeq.deep-1	526143	8851	Epi_AT2
TASSeq.deep-1_16558	TASSeq.deep-1	229320	6140	Mac_AM
TASSeq.deep-1_16638	TASSeq.deep-1	68411	2881	Mo_Ly6Chi
TASSeq.deep-1_16741	TASSeq.deep-1	77560	4182	Endo_aerocyte
TASSeq.deep-1_16901	TASSeq.deep-1	416884	7432	Epi_AT2
TASSeq.deep-1_16937	TASSeq.deep-1	170424	4883	FB_alveolar
TASSeq.deep-1_17337	TASSeq.deep-1	144525	4122	Endo_capillary
TASSeq.deep-1_17365	TASSeq.deep-1	97482	3885	Bcell
TASSeq.deep-1_17406	TASSeq.deep-1	39274	1720	SMC
TASSeq.deep-1_17700	TASSeq.deep-1	50293	2464	NK
TASSeq.deep-1_17709	TASSeq.deep-1	355040	6711	Epi_AT1
TASSeq.deep-1_18398	TASSeq.deep-1	183602	5086	FB_alveolar
TASSeq.deep-1_18467	TASSeq.deep-1	168629	5977	Pericyte
TASSeq.deep-1_18482	TASSeq.deep-1	305413	6729	DC_cDC1
TASSeq.deep-1_18775	TASSeq.deep-1	54462	2612	NK
TASSeq.deep-1_18833	TASSeq.deep-1	244071	5351	FB_alveolar
TASSeq.deep-1_18835	TASSeq.deep-1	33689	2943	Endo_capillary
TASSeq.deep-1_18906	TASSeq.deep-1	88585	4855	FB_alveolar
TASSeq.deep-1_19352	TASSeq.deep-1	288842	8232	Epi_AT1
TASSeq.deep-1_19385	TASSeq.deep-1	164926	5832	doublet
TASSeq.deep-1_19410	TASSeq.deep-1	719108	9986	Mac_AM
TASSeq.deep-1_19647	TASSeq.deep-1	81750	2923	Endo_capillary
TASSeq.deep-1_19845	TASSeq.deep-1	162865	5037	Mo_Ly6Chi
TASSeq.deep-1_19866	TASSeq.deep-1	88605	3200	Endo_capillary
TASSeq.deep-1_20149	TASSeq.deep-1	119510	4468	Endo_capillary
TASSeq.deep-1_20294	TASSeq.deep-1	522789	8692	Mac_AM
TASSeq.deep-1_20377	TASSeq.deep-1	105111	3794	FB_alveolar
TASSeq.deep-1_20758	TASSeq.deep-1	85723	3383	ILC2
TASSeq.deep-1_20900	TASSeq.deep-1	81493	4092	Bcell
TASSeq.deep-1_20993	TASSeq.deep-1	116257	4384	Endo_capillary
TASSeq.deep-1_21128	TASSeq.deep-1	56614	2646	Endo_capillary
TASSeq.deep-1_21340	TASSeq.deep-1	1200041	13183	Epi_clara
TASSeq.deep-1_21459	TASSeq.deep-1	75191	3613	Bcell
TASSeq.deep-1_22148	TASSeq.deep-1	83921	3683	Endo_capillary
TASSeq.deep-1_22273	TASSeq.deep-1	434753	7031	FB_peribronchiolar
TASSeq.deep-1_22346	TASSeq.deep-1	39517	2030	Bcell
TASSeq.deep-1_22360	TASSeq.deep-1	208662	5685	Epi_AT1
TASSeq.deep-1_22363	TASSeq.deep-1	133327	5245	Mac_AM
TASSeq.deep-1_22768	TASSeq.deep-1	883765	11388	Epi_clara
TASSeq.deep-1_22797	TASSeq.deep-1	567208	9447	doublet
TASSeq.deep-1_22820	TASSeq.deep-1	70150	3297	Bcell
TASSeq.deep-1_22972	TASSeq.deep-1	102619	3849	Tcell_CD4T
TASSeq.deep-1_23447	TASSeq.deep-1	124704	4197	doublet
TASSeq.deep-1_23615	TASSeq.deep-1	150948	5140	Tcell_CD4T
TASSeq.deep-1_23654	TASSeq.deep-1	120283	3935	Endo_aerocyte
TASSeq.deep-1_23697	TASSeq.deep-1	144225	5027	NK
TASSeq.deep-1_23828	TASSeq.deep-1	66138	2605	Endo_capillary
TASSeq.deep-1_23943	TASSeq.deep-1	97968	4779	Endo_capillary
TASSeq.deep-1_24072	TASSeq.deep-1	109766	3296	Endo_capillary
TASSeq.deep-1_24195	TASSeq.deep-1	185976	5936	Tcell_CD8T
TASSeq.deep-1_24316	TASSeq.deep-1	202632	6869	FB_adventitial
TASSeq.deep-1_24508	TASSeq.deep-1	86026	3420	Bcell
TASSeq.deep-1_24615	TASSeq.deep-1	450428	8119	Epi_AT2
TASSeq.deep-1_24654	TASSeq.deep-1	94104	3725	NK
TASSeq.deep-1_24744	TASSeq.deep-1	407857	7095	Mac_AM
TASSeq.deep-1_25106	TASSeq.deep-1	678342	10196	Epi_AT1
TASSeq.deep-1_25121	TASSeq.deep-1	182028	4787	Endo_aerocyte
TASSeq.deep-1_26063	TASSeq.deep-1	240151	5535	FB_adventitial
TASSeq.deep-1_26269	TASSeq.deep-1	105737	3531	FB_alveolar
TASSeq.deep-1_26305	TASSeq.deep-1	133911	4980	Endo_capillary
TASSeq.deep-1_26339	TASSeq.deep-1	699986	8971	Epi_AT2
TASSeq.deep-1_26665	TASSeq.deep-1	73703	3127	Bcell
TASSeq.deep-1_26802	TASSeq.deep-1	48557	2203	Pericyte
TASSeq.deep-1_27139	TASSeq.deep-1	313018	7202	Tcell_CD8T
TASSeq.deep-1_27504	TASSeq.deep-1	62902	2583	Endo_capillary
TASSeq.deep-1_27549	TASSeq.deep-1	102212	4175	Tcell_CD4T
TASSeq.deep-1_28377	TASSeq.deep-1	168547	5511	DC_pDC
TASSeq.deep-1_28659	TASSeq.deep-1	101786	4374	FB_peribronchiolar
TASSeq.deep-1_28731	TASSeq.deep-1	166566	4554	FB_alveolar
TASSeq.deep-1_28821	TASSeq.deep-1	200792	6404	Endo_capillary
TASSeq.deep-1_28838	TASSeq.deep-1	214451	6020	Endo_aerocyte
TASSeq.deep-1_28940	TASSeq.deep-1	302860	6014	FB_alveolar
TASSeq.deep-1_29022	TASSeq.deep-1	85471	4194	Endo_capillary
TASSeq.deep-1_29184	TASSeq.deep-1	68116	2239	FB_alveolar
TASSeq.deep-1_29337	TASSeq.deep-1	65544	3398	Endo_capillary
TASSeq.deep-1_29446	TASSeq.deep-1	142170	4210	Endo_capillary
TASSeq.deep-1_29801	TASSeq.deep-1	366052	8174	Bcell
TASSeq.deep-1_30034	TASSeq.deep-1	542136	12031	FB_alveolar
TASSeq.deep-1_30044	TASSeq.deep-1	740425	9808	Mac_AM
TASSeq.deep-1_30125	TASSeq.deep-1	494920	8287	Mac_AM
TASSeq.deep-1_30421	TASSeq.deep-1	140326	4231	Endo_capillary
TASSeq.deep-1_30688	TASSeq.deep-1	57139	2647	Bcell
TASSeq.deep-1_30809	TASSeq.deep-1	378776	7382	Mac_IM
TASSeq.deep-1_30901	TASSeq.deep-1	677756	9284	Epi_AT2
TASSeq.deep-1_31146	TASSeq.deep-1	284274	7618	Bcell
TASSeq.deep-1_31470	TASSeq.deep-1	109660	3648	Endo_arterial
TASSeq.deep-1_31533	TASSeq.deep-1	31976	1361	Endo_capillary
TASSeq.deep-1_31671	TASSeq.deep-1	100173	3582	Endo_capillary
TASSeq.deep-1_31849	TASSeq.deep-1	118674	4942	Bcell
TASSeq.deep-1_32022	TASSeq.deep-1	183665	5173	Endo_capillary
TASSeq.deep-1_32328	TASSeq.deep-1	94464	3520	NK
TASSeq.deep-1_32679	TASSeq.deep-1	335118	6582	FB_alveolar
TASSeq.deep-1_32757	TASSeq.deep-1	382720	7697	doublet
TASSeq.deep-1_32801	TASSeq.deep-1	73574	2792	Endo_capillary
TASSeq.deep-1_33064	TASSeq.deep-1	174530	5826	Endo_aerocyte
TASSeq.deep-1_33225	TASSeq.deep-1	104166	3755	Bcell
TASSeq.deep-1_33322	TASSeq.deep-1	105913	3864	Tcell_CD4T
TASSeq.deep-1_33629	TASSeq.deep-1	717545	10025	Mac_AM
TASSeq.deep-1_33859	TASSeq.deep-1	109907	4457	Bcell
TASSeq.deep-1_34368	TASSeq.deep-1	92805	3613	Tcell_CD8T
TASSeq.deep-1_34379	TASSeq.deep-1	258650	6859	Epi_AT1
TASSeq.deep-1_34526	TASSeq.deep-1	488985	9699	Mac_AM
TASSeq.deep-1_34880	TASSeq.deep-1	589180	8587	Epi_AT2
TASSeq.deep-1_34993	TASSeq.deep-1	89556	3657	Bcell
TASSeq.deep-1_35185	TASSeq.deep-1	179823	5074	FB_adventitial
TASSeq.deep-1_35191	TASSeq.deep-1	88082	3637	Bcell
TASSeq.deep-1_35196	TASSeq.deep-1	329000	6678	Mo_Ly6Chi
TASSeq.deep-1_35374	TASSeq.deep-1	158848	5547	FB_alveolar
TASSeq.deep-1_35757	TASSeq.deep-1	102780	3638	Bcell
TASSeq.deep-1_35767	TASSeq.deep-1	80884	3085	Bcell
TASSeq.deep-1_35889	TASSeq.deep-1	51895	2434	FB_alveolar
TASSeq.deep-1_36061	TASSeq.deep-1	94865	4070	Mo_Ly6Clo
TASSeq.deep-1_36376	TASSeq.deep-1	83659	2772	Endo_capillary
TASSeq.deep-1_36512	TASSeq.deep-1	233168	5906	FB_alveolar
TASSeq.deep-1_36990	TASSeq.deep-1	99341	3426	Bcell
TASSeq.deep-1_37047	TASSeq.deep-1	286510	6390	Mo_Ly6Chi
TASSeq.deep-1_37099	TASSeq.deep-1	69753	3395	Endo_capillary
TASSeq.deep-1_37424	TASSeq.deep-1	647360	9752	Epi_AT2
TASSeq.deep-1_37509	TASSeq.deep-1	986973	11382	Epi_clara
TASSeq.deep-1_37737	TASSeq.deep-1	120991	5229	FB_alveolar
TASSeq.deep-1_37973	TASSeq.deep-1	218319	5420	FB_alveolar
TASSeq.deep-1_38067	TASSeq.deep-1	486688	8283	Epi_AT2
TASSeq.deep-1_38429	TASSeq.deep-1	615297	9419	Mac_AM
TASSeq.deep-1_38621	TASSeq.deep-1	99041	3591	FB_alveolar
TASSeq.deep-1_38839	TASSeq.deep-1	160844	5001	Endo_capillary
TASSeq.deep-1_38877	TASSeq.deep-1	177810	4617	Mac_AM
TASSeq.deep-1_38937	TASSeq.deep-1	98485	3687	NK
TASSeq.deep-1_39333	TASSeq.deep-1	94851	4212	Bcell
TASSeq.deep-1_39347	TASSeq.deep-1	35070	3185	Endo_capillary
TASSeq.deep-1_39393	TASSeq.deep-1	400787	7963	Mo_Ly6Clo
TASSeq.deep-1_39423	TASSeq.deep-1	149753	4813	Bcell
TASSeq.deep-1_39436	TASSeq.deep-1	59367	4038	Endo_capillary
TASSeq.deep-1_39469	TASSeq.deep-1	123351	4480	Tcell_gdT
TASSeq.deep-1_39610	TASSeq.deep-1	225549	6016	Pericyte
TASSeq.deep-1_39633	TASSeq.deep-1	62176	3021	Endo_capillary
TASSeq.deep-1_39648	TASSeq.deep-1	114930	4614	NK
TASSeq.deep-1_39718	TASSeq.deep-1	375454	8348	DC_pDC
TASSeq.deep-1_39822	TASSeq.deep-1	139061	4823	Tcell_CD4T
TASSeq.deep-1_39906	TASSeq.deep-1	192281	5624	Neutrophil
TASSeq.deep-1_39938	TASSeq.deep-1	685456	9738	Mac_AM
TASSeq.deep-1_39979	TASSeq.deep-1	57290	2871	Endo_aerocyte
TASSeq.deep-1_40440	TASSeq.deep-1	38087	2096	FB_alveolar
TASSeq.deep-1_40498	TASSeq.deep-1	161003	5894	Bcell
TASSeq.deep-1_40528	TASSeq.deep-1	90757	3416	Pericyte
TASSeq.deep-1_40629	TASSeq.deep-1	274858	5792	FB_adventitial
TASSeq.deep-1_40692	TASSeq.deep-1	185346	6817	Epi_AT1
TASSeq.deep-1_40749	TASSeq.deep-1	102741	3416	Endo_capillary
TASSeq.deep-1_41256	TASSeq.deep-1	136963	4958	Tcell_CD8T
TASSeq.deep-1_41535	TASSeq.deep-1	346452	6162	Endo_aerocyte
TASSeq.deep-1_41648	TASSeq.deep-1	380592	7867	Endo_aerocyte
TASSeq.deep-1_42099	TASSeq.deep-1	113069	4415	NK
TASSeq.deep-1_42335	TASSeq.deep-1	735612	9540	Epi_AT2
TASSeq.deep-1_42477	TASSeq.deep-1	33407	4277	FB_alveolar
TASSeq.deep-1_42610	TASSeq.deep-1	74371	3570	FB_alveolar
TASSeq.deep-1_42728	TASSeq.deep-1	305827	6916	Epi_AT2
TASSeq.deep-1_42792	TASSeq.deep-1	59744	2917	Endo_capillary
TASSeq.deep-1_42873	TASSeq.deep-1	107284	3598	Endo_capillary
TASSeq.deep-1_42912	TASSeq.deep-1	32491	1440	FB_alveolar
TASSeq.deep-1_43551	TASSeq.deep-1	114463	3768	Endo_capillary
TASSeq.deep-1_43838	TASSeq.deep-1	71426	3980	Endo_capillary
TASSeq.deep-1_43856	TASSeq.deep-1	155172	4382	Endo_capillary
TASSeq.deep-1_43899	TASSeq.deep-1	81015	3438	NK
TASSeq.deep-1_44016	TASSeq.deep-1	82299	3083	FB_alveolar
TASSeq.deep-1_44232	TASSeq.deep-1	55589	2369	Endo_capillary
TASSeq.deep-1_44272	TASSeq.deep-1	115165	4456	Bcell
TASSeq.deep-1_44411	TASSeq.deep-1	95319	3249	Endo_capillary
TASSeq.deep-1_44643	TASSeq.deep-1	726938	9593	Mac_AM
TASSeq.deep-1_44840	TASSeq.deep-1	46291	2448	Bcell
TASSeq.deep-1_44842	TASSeq.deep-1	144448	4424	FB_alveolar
TASSeq.deep-1_44859	TASSeq.deep-1	174919	5415	Mo_Ly6Chi
TASSeq.deep-1_44931	TASSeq.deep-1	487900	8125	Epi_AT2
TASSeq.deep-1_44935	TASSeq.deep-1	899244	10471	Mac_AM
TASSeq.deep-1_45021	TASSeq.deep-1	306210	6487	FB_alveolar
TASSeq.deep-1_45068	TASSeq.deep-1	907299	10177	Mac_AM
TASSeq.deep-1_45092	TASSeq.deep-1	435640	8503	DC_cDC2
TASSeq.deep-1_45232	TASSeq.deep-1	256950	6464	Mo_Ly6Chi
TASSeq.deep-1_45254	TASSeq.deep-1	91268	4810	Endo_capillary
TASSeq.deep-1_45653	TASSeq.deep-1	150923	4877	Mo_Ly6Clo
TASSeq.deep-1_45706	TASSeq.deep-1	61222	2435	FB_alveolar
TASSeq.deep-1_45812	TASSeq.deep-1	64727	4255	Endo_capillary
TASSeq.deep-1_45834	TASSeq.deep-1	102912	3174	Endo_arterial
TASSeq.deep-1_46461	TASSeq.deep-1	324383	6140	Endo_aerocyte
TASSeq.deep-1_46616	TASSeq.deep-1	123051	5655	FB_alveolar
TASSeq.deep-1_47382	TASSeq.deep-1	370438	7047	Mac_AM
TASSeq.deep-1_47540	TASSeq.deep-1	221521	5281	Epi_AT2
TASSeq.deep-1_47541	TASSeq.deep-1	56742	3960	misc
TASSeq.deep-1_48140	TASSeq.deep-1	103845	3746	Endo_capillary
TASSeq.deep-1_48150	TASSeq.deep-1	112969	4763	Bcell
TASSeq.deep-1_48277	TASSeq.deep-1	87636	2665	Epi_AT1
TASSeq.deep-1_48481	TASSeq.deep-1	378895	7262	FB_alveolar
TASSeq.deep-1_48651	TASSeq.deep-1	88252	3994	Endo_capillary
TASSeq.deep-1_48986	TASSeq.deep-1	178596	5820	Endo_aerocyte
TASSeq.deep-1_49056	TASSeq.deep-1	75328	3393	Bcell
TASSeq.deep-1_49068	TASSeq.deep-1	98820	4402	Bcell
TASSeq.deep-1_49091	TASSeq.deep-1	102677	4002	Mo_Ly6Clo
TASSeq.deep-1_49181	TASSeq.deep-1	67189	2715	Endo_capillary
TASSeq.deep-1_49394	TASSeq.deep-1	113406	4316	FB_alveolar
TASSeq.deep-1_49590	TASSeq.deep-1	72615	2916	Endo_capillary
TASSeq.deep-1_50312	TASSeq.deep-1	376657	7566	FB_alveolar
TASSeq.deep-1_50360	TASSeq.deep-1	97256	4388	Bcell
TASSeq.deep-1_50834	TASSeq.deep-1	323253	7603	doublet
TASSeq.deep-1_51465	TASSeq.deep-1	180038	4625	FB_alveolar
TASSeq.deep-1_51503	TASSeq.deep-1	114621	3546	Endo_capillary
TASSeq.deep-1_51798	TASSeq.deep-1	302932	5956	Epi_AT2
TASSeq.deep-1_52127	TASSeq.deep-1	189016	5944	Tcell_CD8T
TASSeq.deep-1_52255	TASSeq.deep-1	86087	3614	Bcell
TASSeq.deep-1_52271	TASSeq.deep-1	75458	2652	Endo_capillary
TASSeq.deep-1_52458	TASSeq.deep-1	71547	2700	Endo_capillary
TASSeq.deep-1_52627	TASSeq.deep-1	139091	3634	Endo_capillary
TASSeq.deep-1_52719	TASSeq.deep-1	198065	5645	SMC
TASSeq.deep-1_53170	TASSeq.deep-1	274476	6911	doublet
TASSeq.deep-1_53185	TASSeq.deep-1	242371	6573	Tcell_CD8T
TASSeq.deep-1_53257	TASSeq.deep-1	166326	4990	Bcell
TASSeq.deep-1_53273	TASSeq.deep-1	533610	8001	Epi_AT2
TASSeq.deep-1_53647	TASSeq.deep-1	28967	1207	FB_alveolar
TASSeq.deep-1_53863	TASSeq.deep-1	201491	4798	Endo_aerocyte
TASSeq.deep-1_53945	TASSeq.deep-1	812959	9585	Epi_AT2
TASSeq.deep-1_54232	TASSeq.deep-1	175678	6047	FB_alveolar
TASSeq.deep-1_54299	TASSeq.deep-1	392847	7478	Endo_aerocyte
TASSeq.deep-1_54425	TASSeq.deep-1	152178	4964	Tcell_CD8T
TASSeq.deep-1_54654	TASSeq.deep-1	117579	5627	Epi_ciliated
TASSeq.deep-1_55337	TASSeq.deep-1	100254	3715	Bcell
TASSeq.deep-1_55513	TASSeq.deep-1	103699	4273	Bcell
TASSeq.deep-1_55565	TASSeq.deep-1	329713	6414	Epi_AT2
TASSeq.deep-1_55690	TASSeq.deep-1	192884	5307	Endo_capillary
TASSeq.deep-1_55894	TASSeq.deep-1	35751	2178	FB_alveolar
TASSeq.deep-1_56049	TASSeq.deep-1	101824	3646	Endo_capillary
TASSeq.deep-1_56085	TASSeq.deep-1	89221	4098	Bcell
TASSeq.deep-1_56181	TASSeq.deep-1	116117	4276	Bcell
TASSeq.deep-1_56198	TASSeq.deep-1	74190	3639	NK
TASSeq.deep-1_56255	TASSeq.deep-1	296598	7232	FB_adventitial
TASSeq.deep-1_56270	TASSeq.deep-1	135856	4391	Endo_aerocyte
TASSeq.deep-1_56345	TASSeq.deep-1	100609	3755	Tcell_CD4T
TASSeq.deep-1_56589	TASSeq.deep-1	650915	8653	Epi_AT2
TASSeq.deep-1_56934	TASSeq.deep-1	157966	4371	Mac_AM
TASSeq.deep-1_57451	TASSeq.deep-1	110130	5016	Pericyte
TASSeq.deep-1_57515	TASSeq.deep-1	926182	10480	Mac_AM
TASSeq.deep-1_57539	TASSeq.deep-1	128994	4365	Endo_aerocyte
TASSeq.deep-1_57710	TASSeq.deep-1	153161	4527	FB_alveolar
TASSeq.deep-1_57746	TASSeq.deep-1	397888	8451	Epi_AT2
TASSeq.deep-1_57949	TASSeq.deep-1	127063	3642	FB_alveolar
TASSeq.deep-1_58105	TASSeq.deep-1	83983	3456	Tcell_CD8T
TASSeq.deep-1_58387	TASSeq.deep-1	69928	3602	FB_alveolar
TASSeq.deep-1_58753	TASSeq.deep-1	48144	2215	Endo_LEC
TASSeq.deep-1_58881	TASSeq.deep-1	67086	3335	Bcell
TASSeq.deep-1_59048	TASSeq.deep-1	100614	4032	Bcell
TASSeq.deep-1_59227	TASSeq.deep-1	56215	2620	Endo_venous
TASSeq.deep-1_59286	TASSeq.deep-1	140178	4803	FB_alveolar
TASSeq.deep-1_59365	TASSeq.deep-1	51070	2133	SMC
TASSeq.deep-1_59542	TASSeq.deep-1	36330	2210	Endo_capillary
TASSeq.deep-1_59619	TASSeq.deep-1	26992	1795	FB_alveolar
TASSeq.deep-1_59743	TASSeq.deep-1	87119	3229	Endo_capillary
TASSeq.deep-1_59853	TASSeq.deep-1	119417	4575	ILC2
TASSeq.deep-1_59876	TASSeq.deep-1	62798	3096	Bcell
TASSeq.deep-1_60043	TASSeq.deep-1	71358	3643	FB_alveolar
TASSeq.deep-1_60649	TASSeq.deep-1	88394	4274	FB_alveolar
TASSeq.deep-1_60792	TASSeq.deep-1	150340	5116	FB_alveolar
TASSeq.deep-1_60796	TASSeq.deep-1	143516	4163	FB_alveolar
